lambda,rmse_mean,rmse_std
0.04,0.5114004871453559,0.14661376299736711
0.04168523931559426,0.5109372755759976,0.14992651881521715
0.043441479419959114,0.5084901793439933,0.15283277438837528
0.045271711646111476,0.5046823879156894,0.15562469480410643
0.04717905335486832,0.5012214309078791,0.15863314284932678
0.04916675324452189,0.4978705738239615,0.16165737960712173
0.05123819688421662,0.4942611892089097,0.1643779840551094
0.053396912480452634,0.489867930631647,0.1669539781668596
0.055646576886537756,0.4856729073148759,0.17003851795505134
0.05799102186522354,0.4819456277330142,0.17209134932965098
0.06043424061519258,0.47861853813643823,0.17393146992396621
0.06298039457251271,0.47630578428535353,0.17558773060350674
0.06563382049864362,0.474383081911277,0.17718995532840506
0.06839903786706791,0.4736486683503453,0.17771501921797372
0.07128075656112796,0.47302868527357866,0.17775402015347522
0.07428388489618089,0.47248606550032035,0.17785744382553223
0.07741353797973392,0.47214414817424977,0.1780798982704301
0.08067504642380133,0.47183624565740806,0.17823664424534633
0.08407396542432084,0.4717697554453525,0.1784205931327841
0.08761608422309532,0.47180492095188525,0.17837889515943064
0.09130743596837473,0.4722349433565169,0.17802644863843756
0.09515430799087501,0.4727989560898541,0.1773356674366543
0.09916325251273467,0.4731373574136454,0.17687573335857482
0.10334109780765117,0.47323370962022243,0.17679293343737967
0.1076949598312043,0.4733370867435857,0.17677616329084755
0.11223225434117655,0.4735762086056243,0.17677205797005432
0.11696070952851467,0.4740640031395539,0.1765644231896988
0.121888379180446,0.4745879823893494,0.1763426228201506
0.12702365639816965,0.4748141754513598,0.17609003004691862
0.13237528789248795,0.4747987713335304,0.17538314420337323
0.13795238888172617,0.47503034620918216,0.17502907813026924
0.14376445861731696,0.4753741376743327,0.1746215061889242
0.1498213965634926,0.4757857371311701,0.17410798886629636
0.1561335192586435,0.4765262032793435,0.1731239342625505
0.16271157788706245,0.4768909536775447,0.17261344371696388
0.1695667765910038,0.4771502414466835,0.1722515735571225
0.1767107915542475,0.477426655403431,0.17186063056545864
0.18415579088967246,0.4777374412013681,0.17145059702441248
0.1919144553647132,0.47805691904678377,0.1710129810436932
0.2,0.4783938316072927,0.17057212128320792
