lambda,rmse_mean,rmse_std
0.04,0.4825181659994632,0.1272609095600404
0.04168523931559426,0.48113610425008985,0.12763285165727273
0.043441479419959114,0.47994972934390273,0.12827205476717576
0.045271711646111476,0.4792969680369067,0.1288587790504224
0.04717905335486832,0.4787917125675234,0.12910668999525415
0.04916675324452189,0.478116095973392,0.12973816799509713
0.05123819688421662,0.4773653761163219,0.1306597107118298
0.053396912480452634,0.47654614361149417,0.1315371003616295
0.055646576886537756,0.4751423827274152,0.13234269697808398
0.05799102186522354,0.47391577260707257,0.13319634137217423
0.06043424061519258,0.472659112004728,0.13380455072839229
0.06298039457251271,0.4716966127375338,0.13373917505964492
0.06563382049864362,0.4719954511243828,0.133287083620055
0.06839903786706791,0.4724490401261906,0.13261636177528036
0.07128075656112796,0.4716080743792088,0.13064865550973767
0.07428388489618089,0.4713089798169793,0.12867989810064157
0.07741353797973392,0.47121829055562137,0.1279432546923619
0.08067504642380133,0.47132921505750724,0.12647167055084302
0.08407396542432084,0.47137643606752305,0.12473150936596371
0.08761608422309532,0.4713125534136199,0.12269233274452347
0.09130743596837473,0.47235169558515455,0.12100722273740554
0.09515430799087501,0.47370880528873577,0.11959662091988323
0.09916325251273467,0.4752877331457892,0.11877731782468968
0.10334109780765117,0.47715358686641907,0.11817795575357153
0.1076949598312043,0.47910993013938113,0.11826014280610667
0.11223225434117655,0.48086897504160386,0.11831008375691764
0.11696070952851467,0.48219602009681195,0.11840310417196916
0.121888379180446,0.4828687803478885,0.11817947009585447
0.12702365639816965,0.4832201780441281,0.11796909491804905
0.13237528789248795,0.48435231178636,0.11786197638161493
0.13795238888172617,0.48586788310120327,0.1180722576767092
0.14376445861731696,0.4874543620402044,0.11888905430131773
0.1498213965634926,0.48872831053545446,0.12027181989042203
0.1561335192586435,0.4894372807371877,0.1212100160399079
0.16271157788706245,0.4903823969000086,0.12196422129782544
0.1695667765910038,0.4913781819632062,0.1228264315035175
0.1767107915542475,0.49195404238410034,0.12328952904697912
0.18415579088967246,0.4918496699920391,0.12300589747176567
0.1919144553647132,0.4917360831389949,0.12278258803177386
0.2,0.49132248781357524,0.12250974129337724
