h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,14.577599057473602,-0.08773839202819474,0.006736854558137356,0.03577867430731516,0.0059955816439225314
1,14.976106046936785,-0.12603185202039807,0.06548058741744803,0.09766734464842979,0.14723211512925408
2,14.116340632201071,-0.09560935731755332,0.1373799414866637,0.1764372688419007,0.5063122615187652
3,13.805306677549229,-0.0558024109607893,0.18589943070475687,0.27074739033137546,0.7936801080224881
4,13.657614267920902,-0.04683823018241421,0.22032866791453676,0.36632499254373907,1.0108469170318695
5,13.561361684866474,-0.03595572834182484,0.24885153024526682,0.45365166268627477,1.2272884588812243
6,13.452528711093112,-0.022176248424022726,0.2788596101524998,0.53594499850938,1.4234504713609877
7,13.404517319528233,-0.011701975947161677,0.30784786540949255,0.6221412193062411,1.5708993467843864
8,13.34156807163952,-0.0040167686098490675,0.33124382526665097,0.7063448161545367,1.7251776420135958
9,13.252415821019218,0.005041026487152196,0.3558070312506,0.7821733984124443,1.8609907059670567
10,13.237441641004374,0.010423787923887519,0.37940304720952317,0.8490061936756359,1.9807561664622781
11,13.200843384969785,0.015995851083823443,0.40084890677222235,0.914310742759124,2.087744194907643
12,13.061104482430169,0.020434640868132344,0.4056808208318794,0.9725871140473372,2.1846168802415447
13,12.974997475017124,0.024136085678113674,0.4150715587610454,1.0248630410615402,2.2732206831626764
14,12.858289094154253,0.027563317736398273,0.42200527151910916,1.0767929079960463,2.3749413896487845
15,12.716694668897373,0.03075172342843736,0.41979766495987,1.1213197510983859,2.4401864116804006
16,12.55488306082672,0.03288459161549983,0.417336606728069,1.1524564758634104,2.5099089882070342
17,12.392315310071977,0.03598421131473699,0.4064748148885635,1.1861906638859898,2.542090177458146
18,12.254289353421377,0.03754958425122058,0.39746595107006694,1.214020004096944,2.5635642345479406
19,12.052012264902416,0.03814389975345657,0.39050853719850204,1.2375436806284568,2.6090264109426173
20,11.889151354019813,0.03969329064630334,0.37989797018477783,1.2568314249753325,2.623795546663174
21,11.771330807131042,0.04033298719329184,0.3702480450118077,1.2790010245824863,2.632772282722532
22,11.671444959972598,0.041039580875017086,0.3534772159211807,1.2993893898252615,2.6315977870367644
23,11.57184414931538,0.04084482089843661,0.31852810081457467,1.310800123399678,2.6299642375874206
24,11.435180534148513,0.04114783648439648,0.3085413788755508,1.3252097545876567,2.6227670730252615
25,11.338450361740797,0.04090195733827325,0.28558832717231186,1.3369120118873037,2.611088404713274
26,11.168610601534702,0.040911751171297,0.26617883735966175,1.3429751140016926,2.5999861228110728
27,10.95919654897522,0.04205499990585386,0.24447130816440646,1.3469653860343587,2.5855581706439987
28,10.853478137590201,0.042193798658578904,0.2226274232108574,1.3586956438560995,2.5710904759111637
29,10.764006651079345,0.04225366611775903,0.20358526923072634,1.3569677594048997,2.5583454373157273
30,10.694271175713325,0.04228196948467201,0.1850763365067645,1.3520483870801419,2.551480125180865
31,10.544214725355971,0.04124476219409415,0.16482051901627,1.3431883796628565,2.529813626967134
32,10.38356873854797,0.04061604782870993,0.1415733993905905,1.327300108712,2.5200003905946855
33,10.285016275424733,0.03996059102801186,0.12005364154803652,1.3186522925297883,2.4878718644577917
34,10.16501693594702,0.03971257734542931,0.10282014820931673,1.3126153780539624,2.4934829801469274
35,10.058919897489265,0.0399968884660361,0.09180844680951095,1.3136488295393167,2.502545300127536
36,9.957750319833524,0.03935084026501968,0.06932616320669457,1.3028094205916663,2.4736135492315907
