h,recession_attn,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.3250853599022329,36.39784050800651,-3.564201616603278,-0.029454420036300836,0.0025891146416856395,0.147415610533793
1,0.21028958213384055,36.69171590000801,-4.3171216616932275,-0.12536550765027954,-0.05344173932531243,-0.10640672072945784
2,0.17915435140105315,37.85676888182304,-4.5114805629635795,-0.19433904122923254,-0.09670442853926275,-0.378501701869405
3,0.1851108335861034,21.620551065961813,-4.051648989877001,-0.2624865771000521,-0.1640284003502285,-0.5752501536195652
4,0.15215032856429322,17.37844280776003,-3.793382035851204,-0.30332960303339224,-0.22745054010277813,-0.7726338744278122
5,0.13301254145396882,16.537746735726245,-3.8874849570594048,-0.3385602984895335,-0.2843641331199479,-0.8885816928125121
6,0.1303200844652743,13.918238135936589,-3.817528424603133,-0.3629114831455573,-0.33503140417137217,-0.9460219124936817
7,0.12015567522671637,12.767871337644879,-3.797152830226758,-0.3865369660624216,-0.3800418233514132,-1.0018584699808182
8,0.10762274129642906,12.263728515365777,-3.7088647316910133,-0.3984977024684407,-0.41146174402310054,-1.0518677408874781
9,0.09919932997901411,11.209365714495934,-3.60624249937087,-0.4021424878728745,-0.44137309689216914,-1.0679122955252833
10,0.0906619356079434,10.66457090555314,-3.484266249834716,-0.40249911395683574,-0.46720621240080007,-1.079479301159798
11,0.08155162627657074,10.087377187357333,-3.3217164236552947,-0.40061230336699877,-0.4841691351009889,-1.0846382908896852
12,0.07270273354449859,9.459989659941433,-3.129379992267239,-0.3970706134955808,-0.5004787370734681,-1.0617949149459296
13,0.06505049972928462,8.950152550977963,-2.921634956076487,-0.3859679238668264,-0.5031353512801873,-1.034393401756675
14,0.05558959303014273,8.580107830268108,-2.762800366250654,-0.37143275889009186,-0.5072770674141616,-1.0048473989957827
15,0.04712753685415396,8.03530582949575,-2.601040663562405,-0.3566352194214946,-0.5069880904436465,-0.9385769215806414
16,0.03898462293631975,7.681215944646929,-2.457318525826541,-0.3339045681704837,-0.5030076853665929,-0.8916713522588277
17,0.03246250233727275,7.239956019166913,-2.286440762417317,-0.30961127761044005,-0.4949811334917554,-0.8516010252949241
18,0.026256942497075806,6.970339075943832,-2.1224626983487593,-0.2877679213936734,-0.48655246233406996,-0.7997099464756684
19,0.02037703630288544,6.7247336715603625,-1.958988795688505,-0.26266009833543774,-0.4743975962446257,-0.7428562878607579
20,0.014369568809805987,6.339687048426944,-1.8219802102358,-0.2385730922934354,-0.46353106419355744,-0.6797010886335848
21,0.009283158678245675,5.870107559110475,-1.666238942109028,-0.21420288576138272,-0.4409513320814041,-0.6238305797020209
22,0.0046943489818489365,5.430873203579485,-1.5595846651514447,-0.1914456307114923,-0.416737270564963,-0.5752333033955072
23,0.00045917324183215126,5.015418689373544,-1.3791535248520599,-0.16804016097530172,-0.3952017661142262,-0.5367799392566439
24,-0.0028836190199647725,4.6819192227077915,-1.2651168057999376,-0.13655943765556483,-0.37026512309590476,-0.48043142531284977
25,-0.005980030768365584,4.378004186603632,-1.1701745304467437,-0.10713280500082734,-0.3383933579965934,-0.4330794812318744
26,-0.008639656304102338,4.022492934893197,-1.0506149027033238,-0.07451173392966455,-0.31656229097817207,-0.37829229282406346
27,-0.011702049886776776,3.7775727177389613,-0.9394670448863385,-0.04901839830266522,-0.29206841068931844,-0.32028146211623965
28,-0.01341725984087915,3.4364561734229984,-0.8259365035641717,-0.019723660277393897,-0.2622573314629483,-0.2614575772037853
29,-0.014471494896003953,3.1748662076300995,-0.6565706783530951,0.005139202025528529,-0.2353097491852505,-0.22390583654950638
30,-0.01479689862927227,2.8802651848317975,-0.550983193683574,0.03403782505214021,-0.2124784294465485,-0.16710334132168647
31,-0.014710050583123727,2.6157138277652248,-0.46235610468101734,0.05639989665112828,-0.1919250177028311,-0.13572193693317963
32,-0.01380876732984529,2.3127533577026123,-0.3559925198663549,0.07596765879397273,-0.17184757611637905,-0.07475486324350185
33,-0.01338790683687134,2.153522121044894,-0.24777184389317528,0.10021884976395626,-0.152803670923226,-0.013464765414579001
34,-0.013506752747959459,1.9294259157253424,-0.1071075729478398,0.12012169707772431,-0.1325691161272207,0.035081782519518226
35,-0.01346980866055449,1.7437577447502433,0.04989157657164619,0.14049318793962423,-0.11662015297732574,0.07843442835028251
36,-0.013300319550836947,1.4691976409034015,0.13212138858527012,0.16607986701674418,-0.099368523902872,0.10344761795876616
