lambda,rmse_mean,rmse_std
0.002,0.13195551921148824,0.03281861471503129
0.002201388342504421,0.12662736174157166,0.03047416861021784
0.002423055317257178,0.12494109490606571,0.02626009626910309
0.0026670428643266486,0.1207440399008535,0.024194826481029108
0.0029355985352441413,0.11624831506836146,0.02388811350706903
0.0032311961968797495,0.11294578396803308,0.024359765247844316
0.003556558820077846,0.1095605942705619,0.023217623360405854
0.003914683562975324,0.10564979677658966,0.02228215213788122
0.004308869380063769,0.10286217324367355,0.021180201541705756
0.004742747411323311,0.09971846914719851,0.020294494039016654
0.0052203144313650775,0.09548142458492254,0.019527041476729373
0.005745969666707332,0.09072189967813264,0.01961869502957149
0.00632455532033676,0.08526039934017932,0.019857370517844034
0.00696140117685682,0.08217845831648217,0.01977368812636888
0.007662373699114579,0.08234372890495816,0.020960369094902304
0.008433930068571646,0.08292958663416373,0.023666136254958555
0.009283177667225556,0.0817352579172453,0.024527059307722202
0.010217939549013861,0.07881957450269098,0.024314667704136535
0.011246826503806984,0.0759437150151792,0.024969243586260594
0.012379316377825215,0.0754650016476259,0.027223182144572842
0.013625841381159225,0.0753017268408455,0.028463651804254874
0.01499788418664912,0.07357949928589337,0.02864123646958501
0.016508083705360374,0.07231326944044361,0.02838342555148663
0.018170351513033735,0.07201356615146522,0.027283792933593558
0.02,0.07207809999253255,0.02613267552664631
