h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.0,11.105731928191888,-0.14450058359643891,-0.03508924971960215,-0.3390893181781421
1,-0.11737608030116184,10.135311008337716,-0.20342845050839578,-0.025198752255944538,-0.4334818920593393
2,-0.10476830966007479,8.53400185355704,-0.2054557678147975,-0.002785837027997861,-0.2917747037713909
3,-0.04946093881299059,8.196539180586036,-0.2121619828508186,0.03092438570914707,-0.138074241107916
4,-0.0532594237268493,7.622690619090074,-0.23309873556910557,0.06712852599723516,-0.06377344404910797
5,-0.05340338597778576,7.010293014064835,-0.24520411181823618,0.10274759560034037,0.00016288955196362438
6,-0.044243639176010506,6.48987082168995,-0.26155496612809165,0.1307500978538089,0.04818595954185876
7,-0.04333103962280887,5.967855954003484,-0.28011475099430766,0.15741275728361462,0.06590813007467147
8,-0.043622751805466146,5.49856123169228,-0.30584059430153393,0.18261577172854507,0.06925176955878581
9,-0.0407062266956213,5.016473089033429,-0.32393174940622227,0.19486541363084525,0.09015208089497995
10,-0.03944895060431648,4.617960365212984,-0.34269523521863077,0.21032234455951673,0.09021546739124661
11,-0.0369593533353544,4.250104311297523,-0.3643771239879236,0.21271606128521053,0.10459334558200101
12,-0.03451400352033864,3.9281078896062556,-0.3819605385442894,0.22776725647676477,0.10569782551938804
13,-0.03203763577433965,3.6374808238030694,-0.4062542155936939,0.22055348824397714,0.10156100292543553
14,-0.02954986754124393,3.3981926213223606,-0.42700022345781014,0.21665078776817806,0.09278736814700614
15,-0.02712496643649757,3.1813385073973715,-0.4360931433391504,0.20895312923232756,0.08885825761933767
16,-0.02475115392943279,2.9543457203541656,-0.45673068523306565,0.2128721363297137,0.08328714509044893
17,-0.02237805476193829,2.735805936165045,-0.47646371237698776,0.20734781089787221,0.080287308957118
18,-0.019955157708207508,2.536926636030052,-0.49870576887544216,0.19938162678270463,0.07598585724554274
19,-0.017872307900349587,2.4033303926459264,-0.5118441299844714,0.18866075803789453,0.07208667793321165
20,-0.015504876748976755,2.2698885555625137,-0.527480163755534,0.18182078824092324,0.06960422340005845
21,-0.01371787220527892,2.157796166215592,-0.5367307951378202,0.18746282871701342,0.06815372574274893
22,-0.012108953753340134,2.103742129786431,-0.5408476677221058,0.1749168101385771,0.06459277327526317
23,-0.010141904671761718,2.0234523750848763,-0.5447980015904494,0.166557818561674,0.06046365849139884
24,-0.008838816228411461,1.9432635137543746,-0.5518682304613833,0.16011701355975258,0.05560487577824049
25,-0.00801446167383019,1.9161652450991797,-0.5674127360249627,0.1605929591529783,0.05861489578076881
26,-0.0075991948838822244,1.8694976015960914,-0.5717136608007624,0.16276239062654344,0.049560561643494754
27,-0.007224458043612745,1.779549863725568,-0.5719137497511974,0.1666146243644705,0.07360705893898183
28,-0.007225200771009472,1.7126804252032066,-0.5758983872064879,0.17097555875905185,0.09782708041823178
29,-0.00641409582249867,1.6510650255861181,-0.5807284214967658,0.174911959931899,0.11046711446958515
30,-0.007102962286567061,1.595115404178306,-0.580081709430729,0.17482586830973834,0.11860162604516657
31,-0.007712181489901027,1.5315224291520733,-0.5828225238277028,0.18861085675902084,0.11522926042616674
32,-0.008343443664856844,1.4263770958249904,-0.5812413463860777,0.1939473551034301,0.12104910180878997
33,-0.008565365351263555,1.3804492287818326,-0.579271837454305,0.1931113204477011,0.1189286053929045
34,-0.009294328276142589,1.338932195783572,-0.5804175888152249,0.191839696851141,0.12290019545312825
35,-0.010418496223433436,1.3219705852483334,-0.5775866502227945,0.19766665224125454,0.136519086798378
36,-0.010904292033436737,1.3170016347205662,-0.5658449176325058,0.20699121579491364,0.13817967150372445
